date,tmin,tmax,tavg,year,month,season,day,diff
18817,19.4,21.8,30.3,1951,7,Summer,8,8.312857143
18818,21.2,32.7,37.55,1951,7,Summer,9,8.307142857
18819,23.2,30.9,38.65,1951,7,Summer,10,8.177142857
18820,21.1,30.8,36.5,1951,7,Summer,11,8.411428571
18821,21.3,26.2,34.4,1951,7,Summer,12,8.218571429
18822,21.5,26.6,34.8,1951,7,Summer,13,8.367142857
18823,21.6,25.4,34.3,1951,7,Summer,14,8.625714286
18824,21.7,25.6,34.5,1951,7,Summer,15,8.934285714
18825,21.5,30.3,36.65,1951,7,Summer,16,9.266666667
18826,19.9,24,31.9,1951,7,Summer,17,8.745714286
18827,19.9,30.3,35.05,1951,7,Summer,18,8.962318841
18828,19.5,30.6,34.8,1951,7,Summer,19,9.206190476
18829,21.5,31.1,37.05,1951,7,Summer,20,9.190952381
18830,22.8,33.2,39.4,1951,7,Summer,21,9.594285714
18831,21.8,35.1,39.35,1951,7,Summer,22,9.975714286
18832,23.3,35.5,41.05,1951,7,Summer,23,9.672857143
18833,21.9,34.8,39.3,1951,7,Summer,24,9.497142857
18834,24.8,34.2,41.9,1951,7,Summer,25,9.613235294
18835,23.2,34.4,40.4,1951,7,Summer,26,9.8
18836,21.5,36.3,39.65,1951,7,Summer,27,9.931428571
18837,22.5,36.4,40.7,1951,7,Summer,28,9.763768116
18838,22.7,37.6,41.5,1951,7,Summer,29,9.919117647
18839,23.4,36.6,41.7,1951,7,Summer,30,9.889705882
18840,20.5,35.8,38.4,1951,7,Summer,31,10.07058824
18841,20.9,35.6,38.7,1951,8,Summer,1,9.991304348
18842,23.4,32.1,39.45,1951,8,Summer,2,10.13333333
18843,23.2,32.3,39.35,1951,8,Summer,3,9.855072464
18844,22,33,38.5,1951,8,Summer,4,10.08405797
18845,23.4,33.1,39.95,1951,8,Summer,5,10.39565217
18846,25.1,35,42.6,1951,8,Summer,6,9.932857143
18847,22.6,35.1,40.15,1951,8,Summer,7,9.965714286
18848,23.5,35.8,41.4,1951,8,Summer,8,10.02428571
18849,23.8,36.2,41.9,1951,8,Summer,9,9.987142857
18850,24.6,36.3,42.75,1951,8,Summer,10,10.07857143
18851,23.2,37.8,42.1,1951,8,Summer,11,10.03913043
18852,23.7,35.9,41.65,1951,8,Summer,12,9.862318841
18853,23.2,36.2,41.3,1951,8,Summer,13,10.09710145
18854,23.8,37.7,42.65,1951,8,Summer,14,9.256521739
18855,23.7,36.2,41.8,1951,8,Summer,15,9.52173913
18856,24.4,35.5,42.15,1951,8,Summer,16,9.47173913
18857,24.4,35.3,42.05,1951,8,Summer,17,9.21884058
18858,26.5,34.6,43.8,1951,8,Summer,18,9.276086957
18859,26.2,31.6,42,1951,8,Summer,19,9.827536232
18860,25.2,31.9,41.15,1951,8,Summer,20,9.254411765
18861,24.2,33.1,40.75,1951,8,Summer,21,9.194117647
18862,24.8,28.3,38.95,1951,8,Summer,22,9.427536232
18863,23.9,34.4,41.1,1951,8,Summer,23,9.47826087
18864,24.4,35.3,42.05,1951,8,Summer,24,9.81863354
18865,22.2,34.8,39.6,1951,8,Summer,25,9.478944099
18866,21.8,37.1,40.35,1951,8,Summer,26,9.424968944
